ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Eco Elementary School,11/6/2022,771951.17,Renewable energy sources,Colombo,LEED Silve,Sustainable Builders,ENERGY STAR Certified,8/30/2023,3.06,Yes,low-flow,sustainable,30% reduction in energy use,false
Sustainable Library,2/27/2023,710379.5,Green roof,Galle,LEED Gold,Sustainable Builders,LEED,12/9/2023,98.46,Yes,low-flow,recycled,30% reduction in energy use,false
Sustainable Library,5/3/2023,622528.98,Renewable energy sources,Anuradhapura,LEED Certified,Green Building Solutions,ENERGY STAR Certified,12/6/2023,91.94,Yes,high-efficiency,recycled,25% reduction in energy use,false
Eco Elementary School,12/1/2022,191687.78,Rainwater harvesting,Jaffna,LEED Gold,Sustainable Builders,ISO 14001,10/11/2023,19.78,Yes,high-efficiency,local,40% reduction in energy use,false
Eco Elementary School,9/17/2023,673828.57,Green roof,Trincomalee,LEED Platinum,Green Building Solutions,ENERGY STAR Certified,2/25/2024,47.05,Limited,high-efficiency,sustainable,25% reduction in energy use,true
Green Office Building,11/3/2022,388071.41,Green roof,Kurunegala,Not Applicable,Sustainable Builders,ISO 14001,12/13/2023,15.49,Limited,high-efficiency,recycled,25% reduction in energy use,false
Eco Elementary School,3/30/2023,340433.8,Green roof,Gampaha,Not Applicable,Sustainable Builders,Green Globes,10/8/2023,8.46,No,high-efficiency,reclaimed,30% reduction in energy use,false
Sustainable Library,1/15/2023,349182.04,Renewable energy sources,Gampaha,LEED Gold,Eco-Friendly Designs,LEED,8/19/2023,4.08,No,high-efficiency,reclaimed,25% reduction in energy use,true
Eco Elementary School,3/8/2023,249809.74,Rainwater harvesting,Trincomalee,LEED Platinum,Green Building Solutions,Green Globes,3/5/2024,62.19,No,low-flow,recycled,40% reduction in energy use,true
Green Office Building,1/28/2023,973710.23,Rainwater harvesting,Gampaha,LEED Gold,Sustainable Builders,Green Globes,6/17/2023,72.55,Limited,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,6/21/2023,969860.96,Renewable energy sources,Kurunegala,LEED Platinum,Green Building Solutions,ENERGY STAR Certified,2/24/2024,44.29,Yes,high-efficiency,local,25% reduction in energy use,false
Sustainable Library,6/8/2023,408222.9,Green roof,Galle,LEED Silve,Green Building Solutions,Green Globes,6/16/2023,28.13,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,8/11/2023,711432.5,Energy-efficient design,Kurunegala,LEED Certified,Green Architects Inc.,LEED,2/15/2024,55.23,No,high-efficiency,reclaimed,30% reduction in energy use,false
Eco Elementary School,7/25/2023,734951.06,Green roof,Anuradhapura,Not Applicable,Sustainable Builders,LEED,1/17/2024,50.51,Yes,low-flow,local,25% reduction in energy use,false
