ContractTitle,ContractDate,ContractAmount,Location,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Mrs,7/22/2000,Franc,City Centre,2,Thoughtstorm,4,11,true,1,4,certified,40% reduction in energy use,1
Ms,12/13/2020,Krona,Central District,3,Photofeed,2,8,true,1,2,certified,30% reduction in energy use,1
Honorable,3/24/2009,Dollar,City Centre,5,Meejo,5,17,true,1,4,sustainable,30% reduction in energy use,0
Honorable,2/11/2008,Euro,Central District,4,Shuffletag,5,48,true,3,3,certified,40% reduction in energy use,0
Honorable,12/16/2008,Yuan Renminbi,Town Square,3,Dabshots,3,52,false,3,3,reclaimed,30% reduction in energy use,1
Honorable,4/28/2013,Baht,Central District,3,Camido,5,82,true,3,3,reclaimed,40% reduction in energy use,0
Mr,7/30/2021,Yuan Renminbi,City Centre,5,Zooxo,2,49,true,1,2,certified,40% reduction in energy use,0
Ms,4/25/2016,Peso,Town Square,2,Flashspan,2,29,true,3,1,sustainable,40% reduction in energy use,0
Ms,10/30/2001,Yuan Renminbi,City Centre,2,Meevee,3,99,true,3,2,reclaimed,40% reduction in energy use,1
Honorable,6/2/2023,Euro,Central District,3,Quimba,2,33,false,2,4,sustainable,30% reduction in energy use,0
Ms,2/26/2009,Euro,City Centre,3,Thoughtstorm,2,68,false,3,4,certified,40% reduction in energy use,1
Mrs,8/13/2023,Peso,Town Square,2,Minyx,2,90,false,3,1,reclaimed,30% reduction in energy use,0
Mr,10/25/2009,Zloty,Central District,2,Oyoyo,5,2,false,1,2,sustainable,30% reduction in energy use,0
Dr,6/30/2021,Euro,City Centre,1,Eazzy,1,41,false,2,1,sustainable,40% reduction in energy use,1
Ms,7/24/2012,Krona,City Centre,3,Reallinks,2,15,true,1,1,sustainable,30% reduction in energy use,0
Honorable,7/18/2010,Yuan Renminbi,Central District,4,Mydo,4,43,true,3,3,certified,40% reduction in energy use,1
Mrs,10/17/2010,Euro,City Centre,4,Meetz,3,94,true,2,2,certified,30% reduction in energy use,1
Dr,7/20/2019,Peso,Central District,3,Pixoboo,4,91,true,3,3,sustainable,40% reduction in energy use,1
Ms,6/9/2017,Dinar,Central District,3,Babblestorm,3,81,true,3,3,sustainable,40% reduction in energy use,0
Honorable,2/8/2022,Yuan Renminbi,City Centre,5,Tagfeed,2,10,false,3,2,certified,30% reduction in energy use,1
Mrs,8/15/2016,Ruble,Town Square,2,Dynazzy,2,77,false,3,3,reclaimed,40% reduction in energy use,0
Mrs,7/2/2018,Loti,Central District,1,Oyoloo,2,54,false,3,2,sustainable,30% reduction in energy use,0
Honorable,11/7/2023,Lek,Town Square,3,Wordware,2,92,true,3,2,reclaimed,40% reduction in energy use,1
Dr,7/14/2017,Franc,Central District,3,Nlounge,5,42,false,1,2,reclaimed,40% reduction in energy use,1
Ms,12/4/2009,Rial,Central District,5,Realmix,5,71,true,3,3,reclaimed,40% reduction in energy use,1
Dr,11/23/2007,Euro,City Centre,3,Topdrive,5,45,false,2,3,certified,30% reduction in energy use,1
Mr,5/7/2003,Yuan Renminbi,City Centre,4,Tekfly,4,74,true,1,2,certified,30% reduction in energy use,1
Dr,2/27/2010,Rupiah,City Centre,1,Youtags,4,91,true,2,3,reclaimed,40% reduction in energy use,1
Mrs,3/10/2020,Peso,Town Square,1,Twitternation,2,27,false,1,1,certified,40% reduction in energy use,0
Rev,5/20/2018,Shilling,Central District,5,Tambee,2,78,false,3,1,sustainable,30% reduction in energy use,0
Mr,2/4/2020,Rupiah,Central District,1,Cogidoo,3,24,false,2,4,reclaimed,30% reduction in energy use,1
Honorable,1/4/2007,Yuan Renminbi,Town Square,3,Muxo,2,93,false,2,1,sustainable,40% reduction in energy use,0
Mr,5/19/2000,Manat,Town Square,2,Bluezoom,4,39,true,3,2,sustainable,40% reduction in energy use,0
Rev,8/28/2016,Rupiah,Central District,5,Shufflester,4,32,true,2,1,sustainable,40% reduction in energy use,0
Rev,3/30/2007,Ruble,City Centre,3,Skipstorm,1,69,true,2,3,sustainable,30% reduction in energy use,0
Mr,4/24/2001,Rand,City Centre,5,Pixope,3,40,false,1,3,reclaimed,40% reduction in energy use,1
Dr,3/31/2003,Afghani,Central District,5,Twinte,1,95,false,3,2,sustainable,30% reduction in energy use,0
Rev,1/6/2002,Ruble,City Centre,2,Twitterwire,1,42,true,3,1,certified,30% reduction in energy use,0
Honorable,11/10/2000,Krone,Town Square,1,Skivee,1,94,false,2,4,certified,30% reduction in energy use,1
Mr,11/19/2020,Real,Town Square,2,Thoughtstorm,2,62,true,2,2,sustainable,30% reduction in energy use,0
Rev,6/19/2002,Rupiah,City Centre,3,Photofeed,2,63,false,3,4,reclaimed,30% reduction in energy use,1
Rev,12/27/2011,Euro,Town Square,5,Chatterbridge,1,2,false,2,2,certified,30% reduction in energy use,0
