ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Green Office Building,4/30/2022,38851122,Rainwater harvesting,City Centre,LEED Gold,Sustainable Builders,ISO 14001,9/30/2023,39,Limited,high-efficiency,reclaimed,30% reduction in energy use,true
Green Office Building,7/24/2022,2413785,Renewable energy sources,City Centre,LEED Silver,Green Building Solutions,ISO 14001,9/2/2023,79,Yes,low-flow,certified,40% reduction in energy use,false
Eco Elementary School,5/20/2020,86516837,Green roof,City Centre,Not Applicable,Green Building Solutions,Green Globes,1/14/2024,53,No,high-efficiency,reclaimed,30% reduction in energy use,false
Sustainable Library,2/2/2011,61281423,Energy-efficient design,City Centre,LEED Silver,Eco-Friendly Designs,LEED,7/3/2023,36,Yes,low-flow,certified,40% reduction in energy use,false
Green Office Building,1/15/2013,31869832,Green roof,City Centre,LEED Silver,Green Architects Inc.,LEED,1/16/2024,85,Limited,high-efficiency,sustainable,40% reduction in energy use,true
Green Office Building,9/26/2023,11999795,LEED Platinum certified,Town Square,Not Applicable,Green Building Solutions,LEED,12/17/2023,22,No,low-flow,sustainable,30% reduction in energy use,true
Sustainable Library,11/30/2011,9517769,Renewable energy sources,Central District,LEED Silver,Eco-Friendly Designs,ISO 14001,11/30/2023,15,Yes,high-efficiency,recycled,40% reduction in energy use,false
Green Office Building,5/21/2018,78349532,Renewable energy sources,City Centre,LEED Certified,Sustainable Builders,LEED,9/26/2023,63,Yes,high-efficiency,local,40% reduction in energy use,false
Green Office Building,12/11/2010,9149744,Rainwater harvesting,Metropolitan Area,LEED Silver,Sustainable Builders,ENERGY STAR Certified,6/1/2023,94,Limited,high-efficiency,sustainable,30% reduction in energy use,true
Green Office Building,8/24/2006,1136088,Energy-efficient design,City Centre,LEED Certified,Green Building Solutions,LEED,10/31/2023,52,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Eco Elementary School,6/5/2007,68872490,LEED Platinum certified,Town Square,LEED Gold,Green Architects Inc.,LEED,5/25/2023,30,Yes,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,11/25/2008,81477488,Rainwater harvesting,Metropolitan Area,Not Applicable,EcoBuild Constructions,Green Globes,6/30/2023,65,Yes,high-efficiency,certified,30% reduction in energy use,false
