ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Sustainable Library,9/15/2013,18103143,LEED Platinum certified,Downtown,2 Level - LEED Certified,Green Building Solutions,1 Level - ENERGY STAR Certified,5/19/2023,51,2 - Limited,2 - high-efficiency,2 - recycled,40% reduction in energy use,false
Green Office Building,4/1/2023,97588523,Energy-efficient design,Town Square,3 Level - LEED Silver,Eco-Friendly Designs,1 Level - ENERGY STAR Certified,12/14/2023,6,3 - Yes,2 - high-efficiency,2 - recycled,30% reduction in energy use,false
Eco Elementary School,1/17/2013,67948396,Energy-efficient design,Metropolitan Area,5 Level - LEED Platinum,Green Architects Inc.,1 Level - ENERGY STAR Certified,6/10/2023,77,2 - Limited,1 - low-flow,4 - reclaimed,40% reduction in energy use,true
Eco Elementary School,5/18/2016,51739808,Rainwater harvesting,Central District,2 Level - LEED Certified,Sustainable Builders,4 Level -  ISO 14001,8/23/2023,10,3 - Yes,1 - low-flow,3 - sustainable,30% reduction in energy use,false
Sustainable Library,4/7/2006,11843806,Green roof,City Centre,5 Level - LEED Platinum,Sustainable Builders,3 Level - Green Globes,10/7/2023,14,2 - Limited,2 - high-efficiency,2 - recycled,40% reduction in energy use,true
Green Office Building,11/1/2013,57880378,Renewable energy sources,Town Square,3 Level - LEED Silver,Green Architects Inc.,1 Level - ENERGY STAR Certified,1/19/2024,86,3 - Yes,1 - low-flow,1 - local,25% reduction in energy use,false
Eco Elementary School,4/23/2011,66147058,Green roof,City Centre,1 Level - Not Applicable,Green Architects Inc.,4 Level -  ISO 14001,12/2/2023,94,2 - Limited,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,false
Green Office Building,3/25/2016,2381147,Renewable energy sources,Metropolitan Area,5 Level - LEED Platinum,Eco-Friendly Designs,4 Level -  ISO 14001,9/2/2023,43,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,true
Sustainable Library,3/9/2022,40495675,LEED Platinum certified,Metropolitan Area,5 Level - LEED Platinum,Sustainable Builders,2 Level - LEED,8/8/2023,15,3 - Yes,2 - high-efficiency,3 - sustainable,40% reduction in energy use,true
Eco Elementary School,7/3/2012,20154066,Green roof,Metropolitan Area,4 Level - LEED Gold,Eco-Friendly Designs,4 Level -  ISO 14001,8/30/2023,72,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Green Office Building,4/30/2023,45002778,Green roof,Metropolitan Area,4 Level - LEED Gold,Green Building Solutions,4 Level -  ISO 14001,12/25/2023,33,2 - Limited,1 - low-flow,5 - certified,25% reduction in energy use,true
Green Office Building,7/19/2008,53977948,Renewable energy sources,Downtown,2 Level - LEED Certified,EcoBuild Constructions,4 Level -  ISO 14001,12/22/2023,28,2 - Limited,2 - high-efficiency,5 - certified,40% reduction in energy use,false
Eco Elementary School,5/30/2008,16391424,Renewable energy sources,Downtown,5 Level - LEED Platinum,Green Building Solutions,2 Level - LEED,11/9/2023,61,1- No,2 - high-efficiency,5 - certified,40% reduction in energy use,false
Green Office Building,8/10/2014,29705415,Renewable energy sources,Central District,5 Level - LEED Platinum,Green Architects Inc.,1 Level - ENERGY STAR Certified,2/11/2024,23,3 - Yes,1 - low-flow,3 - sustainable,40% reduction in energy use,true
Sustainable Library,9/10/2013,908124,LEED Platinum certified,Downtown,2 Level - LEED Certified,Eco-Friendly Designs,3 Level - Green Globes,9/20/2023,30,2 - Limited,1 - low-flow,4 - reclaimed,40% reduction in energy use,false
Green Office Building,6/28/2016,26567106,Renewable energy sources,Metropolitan Area,1 Level - Not Applicable,Green Building Solutions,1 Level - ENERGY STAR Certified,12/29/2023,98,2 - Limited,2 - high-efficiency,1 - local,30% reduction in energy use,false
Green Office Building,12/19/2006,27375082,Energy-efficient design,Metropolitan Area,4 Level - LEED Gold,Sustainable Builders,2 Level - LEED,11/13/2023,15,2 - Limited,2 - high-efficiency,2 - recycled,25% reduction in energy use,false
Eco Elementary School,11/30/2018,97402392,Energy-efficient design,Town Square,5 Level - LEED Platinum,Green Building Solutions,3 Level - Green Globes,6/7/2023,14,3 - Yes,2 - high-efficiency,2 - recycled,40% reduction in energy use,false
Green Office Building,4/25/2023,83243906,Renewable energy sources,Metropolitan Area,3 Level - LEED Silver,EcoBuild Constructions,2 Level - LEED,6/13/2023,96,1- No,2 - high-efficiency,1 - local,40% reduction in energy use,false
Sustainable Library,12/3/2018,44139958,Green roof,City Centre,4 Level - LEED Gold,Green Building Solutions,2 Level - LEED,11/3/2023,72,1- No,2 - high-efficiency,5 - certified,25% reduction in energy use,false
Green Office Building,7/20/2022,27942734,LEED Platinum certified,City Centre,4 Level - LEED Gold,Eco-Friendly Designs,2 Level - LEED,12/30/2023,80,1- No,2 - high-efficiency,4 - reclaimed,30% reduction in energy use,false
Eco Elementary School,7/25/2018,70635019,Green roof,City Centre,4 Level - LEED Gold,Green Building Solutions,2 Level - LEED,2/10/2024,32,2 - Limited,1 - low-flow,5 - certified,30% reduction in energy use,false
Sustainable Library,11/16/2021,48388103,Green roof,Downtown,5 Level - LEED Platinum,Sustainable Builders,2 Level - LEED,5/29/2023,83,2 - Limited,2 - high-efficiency,3 - sustainable,30% reduction in energy use,false
Sustainable Library,11/21/2021,70600492,LEED Platinum certified,Metropolitan Area,5 Level - LEED Platinum,Green Building Solutions,1 Level - ENERGY STAR Certified,8/5/2023,28,3 - Yes,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,true
Green Office Building,1/28/2012,95175982,Renewable energy sources,Central District,5 Level - LEED Platinum,Green Architects Inc.,4 Level -  ISO 14001,8/29/2023,61,2 - Limited,2 - high-efficiency,3 - sustainable,30% reduction in energy use,true
Green Office Building,10/28/2012,10477850,Renewable energy sources,Central District,5 Level - LEED Platinum,Eco-Friendly Designs,3 Level - Green Globes,6/24/2023,92,3 - Yes,1 - low-flow,4 - reclaimed,25% reduction in energy use,true
