# CSV-File created with merge-csv.com
# -----------------------------------------------------------

ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Eco Elementary School,5/24/2019,78982160,Energy-efficient design,Downtown,LEED Certified,Eco-Friendly Designs,LEED,11/30/2023,40,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,10/18/2019,877264,Energy-efficient design,City Centre,LEED Certified,Eco-Friendly Designs,Green Globes,5/16/2023,3,No,low-flow,certified,40% reduction in energy use,true
Sustainable Library,11/19/2020,89665402,Green roof,Town Square,LEED Silver,EcoBuild Constructions,ENERGY STAR Certified,11/1/2023,96,Limited,high-efficiency,certified,30% reduction in energy use,false
Sustainable Library,11/18/2005,82453793,Rainwater harvesting,City Centre,Not Applicable,Eco-Friendly Designs,Green Globes,6/13/2023,45,Limited,high-efficiency,local,40% reduction in energy use,false
Sustainable Library,5/14/2014,44871261,Green roof,Central District,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,2/1/2024,93,Yes,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,3/17/2017,41239403,Energy-efficient design,Town Square,LEED Platinum,Sustainable Builders,ISO 14001,1/15/2024,79,Limited,high-efficiency,certified,30% reduction in energy use,false
Eco Elementary School,11/23/2012,91137474,LEED Platinum certified,Central District,Not Applicable,Green Architects Inc.,LEED,12/24/2023,71,No,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,5/23/2009,38866882,LEED Platinum certified,Downtown,LEED Certified,Sustainable Builders,LEED,6/28/2023,97,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Eco Elementary School,11/24/2011,5890326,LEED Platinum certified,Town Square,LEED Silver,Eco-Friendly Designs,LEED,8/23/2023,79,Yes,low-flow,certified,30% reduction in energy use,true
Eco Elementary School,11/19/2015,83918770,LEED Platinum certified,Town Square,LEED Certified,Sustainable Builders,LEED,11/20/2023,16,Yes,low-flow,certified,30% reduction in energy use,false
Eco Elementary School,5/21/2006,20013255,Energy-efficient design,Town Square,LEED Silver,Eco-Friendly Designs,LEED,8/26/2023,19,No,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,11/28/2018,2314986,Rainwater harvesting,Downtown,LEED Platinum,Green Architects Inc.,LEED,7/13/2023,69,No,high-efficiency,certified,30% reduction in energy use,false
Sustainable Library,7/29/2023,59565250,Green roof,Town Square,LEED Certified,Green Building Solutions,LEED,10/22/2023,72,Yes,low-flow,certified,30% reduction in energy use,true
Sustainable Library,4/11/2014,47663694,Rainwater harvesting,City Centre,LEED Certified,EcoBuild Constructions,LEED,1/13/2024,52,No,high-efficiency,sustainable,40% reduction in energy use,false
Eco Elementary School,8/8/2006,78855467,Energy-efficient design,Town Square,Not Applicable,Sustainable Builders,LEED,8/1/2023,61,Limited,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,7/30/2012,64527246,Renewable energy sources,Central District,LEED Certified,Eco-Friendly Designs,LEED,10/14/2023,84,Limited,high-efficiency,recycled,40% reduction in energy use,false
Sustainable Library,4/27/2018,25190593,Renewable energy sources,Town Square,LEED Silver,Green Building Solutions,Green Globes,1/30/2024,39,Yes,high-efficiency,local,40% reduction in energy use,false
Eco Elementary School,1/11/2013,3229233,Rainwater harvesting,Downtown,Not Applicable,EcoBuild Constructions,LEED,11/16/2023,8,Limited,high-efficiency,recycled,40% reduction in energy use,false
Sustainable Library,8/26/2022,10960959,Renewable energy sources,Town Square,Not Applicable,Eco-Friendly Designs,ENERGY STAR Certified,3/5/2024,62,Limited,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,10/11/2016,78926892,Rainwater harvesting,Town Square,LEED Certified,Sustainable Builders,Green Globes,9/12/2023,57,Yes,low-flow,certified,30% reduction in energy use,false
Sustainable Library,8/4/2022,16845534,Green roof,Downtown,LEED Gold,Green Architects Inc.,LEED,10/2/2023,6,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Green Office Building,3/4/2016,87662947,LEED Platinum certified,Metropolitan Area,LEED Silver,EcoBuild Constructions,LEED,9/2/2023,89,Yes,low-flow,certified,40% reduction in energy use,false
Sustainable Library,4/27/2021,1715211,Rainwater harvesting,Town Square,LEED Certified,Green Architects Inc.,LEED,9/19/2023,90,Yes,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,4/20/2022,58447050,Green roof,Metropolitan Area,LEED Platinum,Eco-Friendly Designs,LEED,9/21/2023,83,Yes,low-flow,reclaimed,40% reduction in energy use,false
Green Office Building,10/28/2011,8103850,Energy-efficient design,Downtown,LEED Silver,Green Architects Inc.,LEED,3/4/2024,75,Limited,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,8/18/2023,1318932,LEED Platinum certified,Downtown,LEED Certified,Green Building Solutions,LEED,8/12/2023,100,Limited,high-efficiency,reclaimed,25% reduction in energy use,true
Sustainable Library,2/5/2006,1537316,Renewable energy sources,City Centre,LEED Certified,EcoBuild Constructions,LEED,2/23/2024,69,Yes,high-efficiency,sustainable,40% reduction in energy use,false
Green Office Building,9/5/2015,33998750,Rainwater harvesting,Town Square,LEED Silver,Sustainable Builders,ISO 14001,10/9/2023,88,Limited,low-flow,certified,40% reduction in energy use,true
Sustainable Library,7/11/2015,69558786,LEED Platinum certified,Town Square,LEED Certified,Green Building Solutions,ENERGY STAR Certified,2/19/2024,22,No,low-flow,local,40% reduction in energy use,false
Green Office Building,2/11/2023,91640638,Rainwater harvesting,Town Square,LEED Silver,EcoBuild Constructions,LEED,1/26/2024,54,No,low-flow,reclaimed,30% reduction in energy use,false
Eco Elementary School,10/28/2020,98114079,Energy-efficient design,Town Square,LEED Platinum,EcoBuild Constructions,ISO 14001,5/26/2023,34,Yes,low-flow,reclaimed,25% reduction in energy use,false
Eco Elementary School,8/21/2006,38992053,LEED Platinum certified,Metropolitan Area,LEED Platinum,Eco-Friendly Designs,ENERGY STAR Certified,9/17/2023,12,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Green Office Building,3/19/2015,13717875,Rainwater harvesting,Metropolitan Area,LEED Gold,Sustainable Builders,ISO 14001,8/31/2023,67,No,high-efficiency,certified,30% reduction in energy use,true
